timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
21440491,21431516,197388,0.19636457,-0.076602146,0.42761236,0
21464504,21456047,197388,0.2029475,-0.08046927,0.43097627,0
21488494,21479920,197388,0.20100363,-0.08656575,0.42940176,0
21512501,21504593,197388,0.2045531,-0.08074339,0.42603368,0
21536492,21528391,197388,0.20028609,-0.07329393,0.4324119,0
21560510,21552627,197388,0.19798483,-0.079753876,0.42919424,0
21584498,21576216,197388,0.19746754,-0.073238485,0.42776924,0
21608491,21598689,197388,0.20315012,-0.0781704,0.42885235,0
21632510,21622641,197388,0.19711292,-0.07861853,0.42677134,0
21656494,21648119,197388,0.2031864,-0.07938221,0.43003708,0
21677505,21670375,197388,0.19893521,-0.08186105,0.4302929,0
21704504,21696806,197388,0.20053756,-0.07662299,0.42926666,0
21728498,21720224,197388,0.1978226,-0.075028315,0.43045282,0
21752501,21744368,197388,0.19779411,-0.07950833,0.42742133,0
21776504,21768865,197388,0.2016322,-0.07889409,0.43403345,0
21800497,21792624,197388,0.19848934,-0.080036834,0.42993385,0
21824499,21815094,197388,0.19731858,-0.07882136,0.42814738,0
21848503,21840928,197388,0.1991827,-0.0746948,0.43126315,0
21872510,21864831,197388,0.1985451,-0.07712008,0.42911512,0
21896514,21888865,197388,0.20191324,-0.07811667,0.42983437,0
21920491,21912800,197388,0.20311025,-0.08325062,0.4286881,0
21944504,21937075,197388,0.19874685,-0.07998556,0.42761242,0
21968497,21958828,197388,0.20165716,-0.07991266,0.4297808,0
21992498,21985105,197388,0.20036295,-0.079733476,0.43443853,0
22016503,22006979,197388,0.19810039,-0.08096875,0.42708325,0
22040491,22033067,197388,0.19981933,-0.08100693,0.4289366,0
22064505,22055136,197388,0.201034,-0.08012014,0.42980504,0
22088491,22081109,197388,0.19979917,-0.07561089,0.431035,0
22112498,22103208,197388,0.19874337,-0.08057419,0.43220085,0
22136497,22129150,197388,0.19915043,-0.07715407,0.4279861,0
22160491,22153099,197388,0.20057008,-0.08068148,0.42791772,0
22184498,22177106,197388,0.19634989,-0.07877467,0.43224812,0
22208490,22201069,197388,0.19795261,-0.07736409,0.42712706,0
22232517,22225095,197388,0.19826026,-0.08182874,0.42785263,0
22256491,22249101,197388,0.19812751,-0.083185665,0.42968038,0
22280504,22271176,197388,0.19603488,-0.08053308,0.43473774,0
22304502,22295181,197388,0.19833858,-0.07882112,0.43364638,0
22328495,22321161,197388,0.19684264,-0.08567785,0.43016872,0
22352510,22345041,197388,0.19997334,-0.08286151,0.42743063,0
22376491,22369130,197388,0.19363418,-0.078109965,0.43368638,0
22400502,22393205,197388,0.19783378,-0.08031455,0.42402136,0
22424498,22417208,197388,0.20164791,-0.08474718,0.4304453,0
22448504,22441324,197388,0.1991637,-0.079814605,0.43319428,0
22472511,22465279,197388,0.19952673,-0.07809219,0.43084803,0
22496494,22489359,197388,0.20181707,-0.08469681,0.43034822,0
22520494,22513569,197388,0.19912511,-0.0807394,0.42895085,0
22544498,22535701,197388,0.19999415,-0.08451629,0.43415833,0
22568511,22561674,197388,0.19792852,-0.08167524,0.43182892,0
22592501,22583770,197388,0.1997695,-0.08249019,0.426475,0
22616503,22610029,197388,0.19791026,-0.08214456,0.42801517,0
22640495,22634130,197388,0.20053828,-0.08001746,0.43079978,0
22664502,22658100,197388,0.20151703,-0.08142304,0.42694068,0
22688504,22682150,197388,0.2023333,-0.07896909,0.4283328,0
22712513,22706175,197388,0.19940993,-0.08089793,0.42939314,0
22736499,22728456,197388,0.19979337,-0.084106915,0.42684078,0
22760494,22754155,197388,0.19354469,-0.07767673,0.43320504,0
22784499,22778118,197388,0.19781926,-0.07676252,0.42435515,0
22808491,22802246,197388,0.20172784,-0.08010507,0.431629,0
22832501,22826150,197388,0.19586456,-0.081668705,0.43215483,0
22856491,22848243,197388,0.20011213,-0.084366046,0.43076092,0
22877512,22872405,197388,0.199109,-0.0815521,0.42831802,0
22904511,22898596,197388,0.19653666,-0.08753712,0.42817155,0
22928503,22922260,197388,0.19740014,-0.080808386,0.42923716,0
22952511,22946248,197388,0.20143141,-0.08280523,0.42623383,0
