timestamp,xtime,event
47933643,66,82
47933710,217,86
47934439,15,84
47936465,158,80
47936624,42,81
47936667,10,85
47937450,65,82
47937516,30,83
47939466,97,80
47939564,14,84
47939579,13,86
47940444,12,81
47941254,40,88
47941439,990,34
47942432,165,80
47942598,1830,34
47944431,49,81
47944481,201,82
47944683,29,83
47944713,73,84
47944787,27,85
47945439,193,80
47945633,57,82
47945691,217,86
47947445,31,83
47948452,158,80
47948611,45,81
47949439,515,82
47949955,77,84
47950439,28,85
47951439,119,80
47951559,205,86
47952458,13,81
47952472,31,83
47953451,58,82
47954439,165,80
47954605,14,84
47956439,42,81
47957440,203,80
47957644,66,82
47957711,30,83
47957742,13,86
47957756,10,85
47959443,17,84
47960458,158,80
47960617,41,81
47961439,504,82
47962442,30,83
47963430,113,80
47963544,205,86
47964440,26,81
47964467,72,84
47964540,27,85
47965451,58,82
47966439,158,80
47967440,32,83
47968438,43,81
47969442,199,80
47969642,2786,34
47972431,110,80
47972542,40,81
47972583,91,82
47972675,29,83
47972705,71,84
47972777,212,86
47972990,27,85
47973435,59,82
47974445,15,84
47975466,184,80
47975651,14,86
47976446,46,81
47977443,505,82
47977949,31,83
47978442,179,80
47978622,15,85
47979439,88,84
47980445,42,81
47981443,213,80
47981657,202,82
47981861,216,86
47982445,32,83
47984440,172,80
47984613,41,81
47984655,14,84
47985450,65,82
47985516,10,85
47987440,111,80
47987552,30,83
47987583,13,86
47988445,13,81
47989442,987,34
47990432,160,80
47990593,1835,34
47992431,55,81
47992487,795,82
47993283,29,83
47993314,80,84
47993395,26,85
47993422,14,40
47993440,117,80
47993558,58,82
47993617,205,86
47993823,39,88
47994449,14,84
47995466,117,87
47996445,223,80
47996669,45,81
47997439,579,82
47998019,34,83
47999440,193,80
47999634,75,84
47999710,222,86
47999933,29,85
48000453,13,81
48001439,58,82
48002450,163,80
48002614,31,83
48004439,48,81
48004488,14,84
48005465,177,80
48005643,66,82
48005710,13,86
48006444,10,85
48007439,45,83
48008439,165,80
48008605,41,81
48009439,651,82
48010091,72,84
48011449,103,80
48011554,205,86
48012439,19,81
48012460,31,83
48013449,58,82
48013508,26,85
48014439,165,80
48014605,14,84
48016447,42,81
48017442,199,80
48017642,2786,34
48020431,110,80
48020542,41,81
48020584,88,82
48020673,30,83
48020704,72,84
48020777,213,86
48020991,26,85
48021442,58,82
48022439,32,83
48023439,185,80
48023625,13,86
48024439,48,81
48024488,14,84
48025452,498,82
48026439,159,80
48027439,13,37
48027453,30,83
48027484,14,85
48028452,41,81
48029472,178,80
48029651,65,82
48029717,73,84
48029791,217,86
48032465,159,80
48032625,40,81
48032666,32,83
48033435,58,82
48034459,14,84
48034474,10,85
48035440,104,80
48035545,14,86
48036443,12,81
48037458,971,34
48038432,159,80
48038592,1836,34
48040431,42,81
48040474,78,82
48040553,30,83
48040584,72,84
48041255,40,88
48041440,199,80
48041640,57,82
48041698,217,86
48041916,27,85
48042443,31,83
48044440,171,80
48044612,42,81
48044655,14,84
48045444,496,82
48047472,97,80
48047570,30,83
48047601,205,86
48048439,20,81
48048460,15,85
48049439,64,82
48049504,73,84
48050442,158,80
48052454,42,81
48052497,31,83
48053449,191,80
48053641,65,82
48053707,14,86
48054439,15,84
48055439,43,85
48056450,158,80
48056610,41,81
48057443,1985,34
48059431,110,80
48059542,886,34
48060431,13,81
48060445,18,82
48060464,30,83
48060495,69,84
48060565,205,86
48061436,62,82
48062465,158,80
48062625,31,83
48062657,27,85
48064450,42,81
48064493,14,84
48065465,188,80
48065654,509,82
48066164,213,86
48067447,44,83
48068458,158,80
48068617,42,81
48069465,58,82
48069524,72,84
48069597,27,85
48071436,113,80
48071550,13,86
48072458,13,81
48072472,31,83
48073439,58,82
48074458,158,80
