timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
15865585,-0.0018598008,-0.0008004418,0.0020219074,4232,0,0.025661424,-0.022904763,-9.8136835,4232,0
15869334,-0.004553499,0.0002534204,2.321991e-05,3749,0,0.013579721,0.0015446093,-9.768355,3749,0
15873598,-0.0017790102,0.003022763,0.00078444916,4264,0,0.018547092,-0.014560466,-9.759318,4264,0
15877343,-0.0004905303,3.513894e-05,0.0009891643,3745,0,0.03929799,-0.012414624,-9.780177,3745,0
15882256,0.00033192724,-0.0005630932,-0.0021405783,4913,0,0.04359226,-0.0021028053,-9.784243,4913,0
15885636,0.0014116977,0.00047808295,0.0011537131,3380,0,0.021548009,-0.038236275,-9.785431,3380,0
15890423,0.0008471147,-0.0026529985,0.0038720567,4787,0,0.011538749,-0.03446781,-9.792444,4787,0
15893259,0.001087956,-0.0018889536,0.0037529536,2836,0,0.011842883,-0.014249908,-9.766442,2836,0
15897335,0.0011079087,-0.0011013102,0.0014973395,4076,0,-0.0017283114,-0.020716593,-9.757395,4076,0
15901539,0.0011589191,0.0007215031,0.00052443874,4204,0,0.009070112,-0.038915075,-9.786166,4204,0
15905331,0.0020497916,0.0035628434,0.0018335627,3792,0,0.02916459,-0.048925705,-9.788967,3792,0
15909344,0.0016790783,0.0019366002,0.0015360661,4013,0,0.029440928,-0.037398767,-9.7870655,4013,0
15913363,0.0024255523,0.00047524663,-0.00060992537,4019,0,0.014393011,-0.026747853,-9.780436,4019,0
15918588,0.0039681494,0.000116079624,-0.0014576322,5225,0,0.022400972,-0.01678561,-9.766096,5225,0
15921603,0.00021237799,0.0019497086,-0.000820867,3015,0,0.009332451,-0.05409848,-9.779393,3015,0
15926195,-0.0021998193,0.0013380877,0.00042153287,4592,0,0.009287222,-0.07054168,-9.80785,4592,0
